,asin_id,name,price,avg_rating,no_of_ratings
68,B00NQQTXW6,Hasbro Gaming The Game of Life Junior Game,16.99,4.5,2324
69,B08GPMDXK1,"Matching Letter Game for Kids, Sight Words Alphabet Flash Cards and Math Board Games Toys for Toddlers, ABC Educational Learning Toy for Preschool Kindergarten, Gifts for Boys & Girls Ages 3 4 5 6 7",15.99,4.9,13
70,B00NQQTXU8,Scrabble Junior Game,14.96,4.7,3369
71,B000809OAO,Ticket To Ride - Europe,44.48,4.8,4750
73,B08DXXXKPL,"Pruk Sling Foosball Board Game, Fast Sling Puck Game, Desktop Ice Hockey Battle Game, Classic Parent-Child Interactive Toys, Wooden Foosball Winner Game for Kids and Adults",16.99,5.0,1
74,B083XX769B,Avalon Hill Scooby Doo in Betrayal at Mystery Mansion | Official Scooby Doo + Betrayal at House on The Hill Board Game | Ages 8+,27.26,4.7,313
75,B01EIKRP0K,Harry Potter Hogwarts Battle Cooperative Deck Building Card Game | Official Harry Potter Licensed Merchandise | Harry Potter Board Game | Great Gift for Harry Potter Fans | Harry Potter Movie artwork,39.99,4.8,2167
76,B0084M8UEE,Indie Boards and Cards Flash Point Fire Rescue 2nd Edition,24.99,4.7,693
78,B083YKFYN3,"Monopoly Super Electronic Banking Board Game, Electronic Banking Unit, Choose Your Rewards, Cashless Gameplay Tap Technology, for Ages 8 and Up",24.86,4.3,44
79,B07XDD71LQ,"Tapestry Board Game - A Civilization Building Stonemaier Game with 18 Painted Landmark Miniatures for 1-5 Players, Ages 14+",65.92,4.8,252
80,B07SFKCPJ7,Latice Hawaii Strategy Board Game - The Remarkable Multi-Award-Winning Smart New Family Game. Intelligent Fun for Creative People.,27.19,4.7,777
81,B013TJ5P80,Mysterium,39.96,4.7,1719
82,B07JZTBV9C,Taco vs Burrito - The Wildly Popular Surprisingly Strategic Card Game Created by a 7 Year Old,19.99,4.4,2718
84,B00D4NJSBW,Taboo Board Game,14.92,4.7,3195
85,B00HVTH2P4,Aggravation,16.99,4.7,2212
86,B07D5QHKJN,PlayMonster 5 Second Rule Game - New Edition,16.67,4.6,4501
87,B07VVLQ5LS,Monopoly: Friends The TV Series Edition Board Game for Ages 8 and Up; Game for Friends Fans (Amazon Exclusive),23.5,4.9,818
88,B00000DMF6,Chutes and Ladders Board Game for 2 to 4 Players Kids Ages 3 and Up (Amazon Exclusive),12.98,4.8,2702
89,B06XY881H4,Connect 4 Strategy Board Game for Ages 6 and Up (Amazon Exclusive),11.99,4.8,4389
90,B00YT90JWC,Red Wii Mini Console MotionPlus Bundle (Wii) (Bundle) (Renewed),169.99,3.9,17
91,B01MRGY6G6,Plague Inc. The Board Game,38.99,4.8,679
92,B07VYTX21W,Hasbro Gaming Risk Junior Game: Strategy Board Game; A Kid's Intro to The Classic Risk Game for Ages 5 and Up; Pirate Themed Game,12.49,4.5,422
93,B01F46RPS4,IELLO King of Tokyo: New Edition Board Game,31.43,4.8,1386
94,B07PXSJMHF,Ravensburger Minecraft: Builders & Biomes Strategy Board Game Ages 10 & Up,28.43,4.6,920
95,B077Z1R28P,Taco Cat Goat Cheese Pizza,9.99,4.8,8517
98,B07L437XBJ,Istanbul: Big Box Board Game,55.89,4.8,86
99,B083YKSNN8,"Hasbro Gaming Mall Madness Game, Talking Electronic Shopping Spree Board Game for Kids Ages 9 and Up, for 2 to 4 Players",24.99,4.2,114
101,B074YN5CKM,Sid Meier's Civilization - A New Dawn,32.95,4.5,287
102,B0813WY7V8,The Game Designers,11.99,4.2,2019
103,B08412VYKZ,Ravensburger Disney Jungle Cruise Adventure Game for Ages 8 & Up - Amazon Exclusive,34.99,4.6,487
104,B00GNG0BZE,Fun+1 Toys! Classic Wooden Chess Set - Wooden Chess Board and Staunton Style Wood Pieces - Board Game Set for Adults and Kids - 15 x 15 Inches,19.49,4.5,429
106,B014Q1XX9S,Czech Games Codenames,15.39,4.8,11702
107,B07FDYS8ZV,"The World Game - Geography Card Game - Educational Board Game for Kids, Family & Adults",24.99,4.5,481
109,B00LHJZ1OI,Hasbro Gaming The Game of Life Electronic Banking,24.1,4.7,938
111,0975277324,Ticket To Ride - Play With Alexa,0.0,4.8,9070
112,B004P0ZGDM,Fastrack Game,18.3,4.5,947
113,B01GSYA4K2,"Indie Boards and Cards Terraforming Mars Board Game, Multicolor (6005SG)",41.99,4.7,1742
114,B00000J0JF,"Ravensburger Labyrinth Family Board Game for Kids and Adults Age 7 and Up - Millions Sold, Easy to Learn and Play with Great Replay Value (26448)",31.98,4.8,6203
115,B00IFWSO94,Scrabble Deluxe Edition Game,38.13,4.6,1191
116,B07QB98HV7,Monopoly Unicorns Vs. Llamas Board Game For Ages 8 & Up (Amazon Exclusive),19.65,4.7,2612
117,B085WL4LMG,Funko Back to The Future - Back in Time Board Game,27.23,4.6,143
118,B000MMVQ3Q,Checkers/Chess/Backgammon - 3 Games in One with Full Size Staunton Chess Pieces and Interlocking Checkers,6.99,4.2,6384
