,asin_id,name,price,avg_rating,no_of_ratings
55,B013TJ5P80,Mysterium,39.49,4.7,1750
56,B0878DCMXW,"Fast Sling Puck Game, Table Desktop Battle Ice Hockey Game/Winner Board Chess Games for Adults and Kids",34.86,4.3,64
57,B089HJWNZH,Evil Dead 2: The Board Game,79.99,4.7,18
58,B07Z5BRRF7,Beat That! - The Bonkers Battle of Wacky Challenges [Family Party Game for Kids & Adults],24.99,4.7,1400
59,1947494503,Gale Force Nine Dune Board Game,43.95,4.8,424
60,B07F454YF3,"Leder Games Root: A Game of Woodland Might and Right, Adventure and War Board Game for 2 - 4 Players",56.99,4.8,456
61,B00TLEMRKM,Yahtzee,0.0,4.8,7298
62,B00MOURUR0,"Samsung Galaxy Tab 3 Lite (7-Inch, Dark Gray) (Renewed)",0.0,4.1,225
63,B00JMCJGZC,Hasbro Scrabble Deluxe Edition (Amazon Exclusive),42.99,4.8,2847
64,B01EIKRP0K,Harry Potter Hogwarts Battle Cooperative Deck Building Card Game | Official Harry Potter Licensed Merchandise | Harry Potter Board Game | Great Gift for Harry Potter Fans | Harry Potter Movie artwork,46.6,4.8,2214
65,B00000IVFX,"Jax Jumbo SEQUENCE Game - Box Edition with Cushioned Mat, Cards and Chips",43.5,4.8,1772
66,B083XX769B,Avalon Hill Scooby Doo in Betrayal at Mystery Mansion | Official Scooby Doo + Betrayal at House on The Hill Board Game | Ages 8+,27.26,4.7,353
67,B072KD87TW,Cardinal Games Jumanji The Game Action Game,18.95,4.3,1833
68,B0792JY6G4,Starling Games: Everdell Board Game,60.0,4.9,512
69,B01ISKSRK8,"Hasbro Gaming Mouse Trap Game,Brown",19.99,4.5,2023
70,B085WL16T6,Godzilla Tokyo Clash Board Game,26.24,4.8,71
71,B07SVNZXY4,PARKS,0.0,4.7,167
72,B085B23JHC,"Hedbanz Picture Guessing Board Game, for Families and Kids Ages 8 and up",11.99,4.6,3
73,B0757QD8FY,"Tokaido Board Game, Base",39.99,4.7,759
74,B075B1WNDG,Fallout,42.99,4.6,742
75,B000P69H62,Redneck Life Board Game,26.18,4.7,1750
76,B00004W60G,Wit's End Board Game,36.95,4.4,669
77,B01IPUGYK6,"Scythe Board Game - An Engine-Building, Area Control Stonemaier Game for 1-5 Players, Ages 14+",64.0,4.8,1720
78,B00000DMFD,Hasbro Gaming Mouse Trap Board Game For Kids Ages 6 and Up (Amazon Exclusive),22.92,4.5,2515
79,B07VVLQ5LS,Monopoly: Friends The TV Series Edition Board Game for Ages 8 and Up; Game for Friends Fans (Amazon Exclusive),22.76,4.9,862
